name	line:
11322a	197
145a	117
14a	88
186a	120
1a	36
1b	39
1za	77
217a	105
233a	108
25za	105
297989za	293
2a	31
2b	31
2za	72
3775512a	284
391oa	133
3a	43
3b	48
3o8a	112
3z2z348a	321
3z9z46za	365
41527a	186
41o9a	146
43882a	174
43a	70
442z6a	187
4a	39
4b	35
5342oa	187
57954a	186
58a	82
5a	48
5b	45
5oa	80
5z8a	118
61355ooa	275
6282a	146
6571a	174
66a	102
6989326a	273
6a	70
6b	66
71996a	191
7224953a	307
73a	96
74568a	237
76873a	207
7a	57
7b	59
8476a	169
85a	83
86z99a	197
8852a	120
8a	45
8b	32
8o31o67a	264
9161165a	276
9275815a	323
949a	115
94o8a	149
9a	51
9b	42
9zzza	208
o17a	111
o29a	105
o474oooa	289
o5183a	165
o566a	166
oa	34
ob	50
z125a	164
z59a	123
z6a	98
z7z1a	181
z8a	85
za	49
zb	55
